solver,N,diagnostic,value
exponax,8,divergence_rms,0.0009193833102472126
exponax,8,kinetic_energy,0.11771081387996674
exponax,8,analytic_error,0.04880514740943909
phiflow,8,divergence_rms,0.000429314561188221
phiflow,8,kinetic_energy,0.08603508770465851
phiflow,8,analytic_error,0.15585002303123474
xlb,8,divergence_rms,0.004396259784698486
xlb,8,kinetic_energy,0.07719298452138901
xlb,8,analytic_error,0.20052629709243774
ins_jl,8,divergence_rms,0.00028408149955794215
ins_jl,8,kinetic_energy,0.08598076552152634
ins_jl,8,analytic_error,0.1557713896036148
warp_ns,8,divergence_rms,0.0033212038688361645
warp_ns,8,kinetic_energy,0.11807195097208023
warp_ns,8,analytic_error,0.04466200992465019
openfoam,8,divergence_rms,0.021257050335407257
openfoam,8,kinetic_energy,0.1178513765335083
openfoam,8,analytic_error,0.0486692450940609
pict,8,divergence_rms,0.0028136414475739002
pict,8,kinetic_energy,0.11799218505620956
pict,8,analytic_error,0.03822539001703262
exponax,16,divergence_rms,0.0002962142461910844
exponax,16,kinetic_energy,0.11771055310964584
exponax,16,analytic_error,0.048805247992277145
phiflow,16,divergence_rms,0.00032097959774546325
phiflow,16,kinetic_energy,0.10901729017496109
phiflow,16,analytic_error,0.06287399679422379
xlb,16,divergence_rms,0.003848401829600334
xlb,16,kinetic_energy,0.10811111330986023
xlb,16,analytic_error,0.06684479117393494
ins_jl,16,divergence_rms,0.0003078145382460207
ins_jl,16,kinetic_energy,0.10898300260305405
ins_jl,16,analytic_error,0.062457647174596786
warp_ns,16,divergence_rms,0.0008704817155376077
warp_ns,16,kinetic_energy,0.11781045794487
warp_ns,16,analytic_error,0.047816503793001175
openfoam,16,divergence_rms,0.01010345108807087
openfoam,16,kinetic_energy,0.11766106635332108
openfoam,16,analytic_error,0.047124795615673065
pict,16,divergence_rms,0.0008193901157937944
pict,16,kinetic_energy,0.11777587234973907
pict,16,analytic_error,0.04584399238228798
exponax,32,divergence_rms,7.899765478214249e-05
exponax,32,kinetic_energy,0.1177092045545578
exponax,32,analytic_error,0.04880624637007713
phiflow,32,divergence_rms,0.00010435528383823112
phiflow,32,kinetic_energy,0.11549200862646103
phiflow,32,analytic_error,0.05002160742878914
xlb,32,divergence_rms,0.0037400207947939634
xlb,32,kinetic_energy,0.11533969640731812
xlb,32,analytic_error,0.050748731940984726
ins_jl,32,divergence_rms,0.0001076097905752249
ins_jl,32,kinetic_energy,0.11547581851482391
ins_jl,32,analytic_error,0.04985443130135536
warp_ns,32,divergence_rms,0.00022154606995172799
warp_ns,32,kinetic_energy,0.11774300038814545
warp_ns,32,analytic_error,0.04867621883749962
openfoam,32,divergence_rms,0.0020754977595061064
openfoam,32,kinetic_energy,0.1176929771900177
openfoam,32,analytic_error,0.04804500937461853
pict,32,divergence_rms,0.000205894946702756
pict,32,kinetic_energy,0.11772043257951736
pict,32,analytic_error,0.04798119515180588
