solver,N,error,valid
jax_cfd,16,0.038172028958797455,True
phiflow,16,0.0380484014749527,True
ins_jl,16,0.03804793208837509,True
openfoam,16,0.0009600159246474504,True
pict,16,0.0009598742472007871,True
xlb,16,0.05020418390631676,True
warp_ns,16,0.0013066786341369152,True
jax_cfd,32,0.009637434035539627,True
phiflow,32,0.009604740887880325,True
ins_jl,32,0.00960417091846466,True
openfoam,32,0.0002525276504456997,True
pict,32,0.00025224502314813435,True
xlb,32,0.013687536120414734,True
warp_ns,32,0.0003541698679327965,True
jax_cfd,64,0.002427849220111966,True
phiflow,64,0.002407319378107786,True
ins_jl,64,0.002406822983175516,True
openfoam,64,5.8267676649848e-05,True
pict,64,5.639411756419577e-05,True
xlb,64,0.006978033110499382,True
warp_ns,64,9.035089169628918e-05,True
jax_cfd,128,0.0006218989728949964,True
phiflow,128,0.0006025606417097151,True
ins_jl,128,0.0006020606379024684,True
openfoam,128,3.5954799386672676e-05,True
pict,128,1.4510212167806458e-05,True
xlb,128,0.006995341740548611,True
warp_ns,128,2.2704380171489902e-05,True
