solver,F_total,diagnostic,value
jax_fem,0.25,compliance,0.0002484577998984605
topopt_jl,0.25,compliance,0.0002498319372534752
dealii_structural,0.25,compliance,0.0002484577998984605
fenics_structural,0.25,compliance,0.0002484577998984605
firedrake_structural,0.25,compliance,0.0002484577998984605
jax_fem,0.5,compliance,0.000993831199593842
topopt_jl,0.5,compliance,0.0009993277490139008
dealii_structural,0.5,compliance,0.000993831199593842
fenics_structural,0.5,compliance,0.000993831199593842
firedrake_structural,0.5,compliance,0.000993831199593842
jax_fem,1.0,compliance,0.003975324798375368
topopt_jl,1.0,compliance,0.003997310996055603
dealii_structural,1.0,compliance,0.003975324798375368
fenics_structural,1.0,compliance,0.003975324798375368
firedrake_structural,1.0,compliance,0.003975324798375368
jax_fem,2.0,compliance,0.015901299193501472
topopt_jl,2.0,compliance,0.015989243984222412
dealii_structural,2.0,compliance,0.015901299193501472
fenics_structural,2.0,compliance,0.015901299193501472
firedrake_structural,2.0,compliance,0.015901299193501472
jax_fem,4.0,compliance,0.06360519677400589
topopt_jl,4.0,compliance,0.06395697593688965
dealii_structural,4.0,compliance,0.06360519677400589
fenics_structural,4.0,compliance,0.06360519677400589
firedrake_structural,4.0,compliance,0.06360519677400589
