solver,rho_0,error,valid
jax_fem,0.05,0.0,True
fenics_heat,0.05,0.0,True
dealii_heat,0.05,0.0,True
firedrake_heat,0.05,0.0,True
torch_fem_thermal,0.05,0.0,True
jax_fem,0.1,6.100464133851347e-08,True
fenics_heat,0.1,6.100464133851347e-08,True
dealii_heat,0.1,6.100464133851347e-08,True
firedrake_heat,0.1,6.100464133851347e-08,True
torch_fem_thermal,0.1,6.100464133851347e-08,True
jax_fem,0.2,0.0,True
fenics_heat,0.2,0.0,True
dealii_heat,0.2,0.0,True
firedrake_heat,0.2,0.0,True
torch_fem_thermal,0.2,0.0,True
jax_fem,0.4,0.0,True
fenics_heat,0.4,0.0,True
dealii_heat,0.4,0.0,True
firedrake_heat,0.4,0.0,True
torch_fem_thermal,0.4,0.0,True
jax_fem,0.6,0.0,True
fenics_heat,0.6,0.0,True
dealii_heat,0.6,0.0,True
firedrake_heat,0.6,0.0,True
torch_fem_thermal,0.6,0.0,True
jax_fem,0.8,3.9025301137519805e+30,True
fenics_heat,0.8,3.9025301137519805e+30,True
dealii_heat,0.8,3.9025301137519805e+30,True
firedrake_heat,0.8,3.9025301137519805e+30,True
torch_fem_thermal,0.8,3.9025301137519805e+30,True
jax_fem,0.95,0.0,True
fenics_heat,0.95,0.0,True
dealii_heat,0.95,0.0,True
firedrake_heat,0.95,0.0,True
torch_fem_thermal,0.95,0.0,True
