solver,Q_total,diagnostic,value
jax_fem,0.25,thermal_compliance,0.6412187814712524
fenics_heat,0.25,thermal_compliance,0.6412187814712524
dealii_heat,0.25,thermal_compliance,0.6412187814712524
firedrake_heat,0.25,thermal_compliance,0.6412187814712524
torch_fem_thermal,0.25,thermal_compliance,0.6412187814712524
jax_fem,0.5,thermal_compliance,2.5648751258850098
fenics_heat,0.5,thermal_compliance,2.5648751258850098
dealii_heat,0.5,thermal_compliance,2.5648751258850098
firedrake_heat,0.5,thermal_compliance,2.5648751258850098
torch_fem_thermal,0.5,thermal_compliance,2.5648751258850098
jax_fem,1.0,thermal_compliance,10.259500503540039
fenics_heat,1.0,thermal_compliance,10.259500503540039
dealii_heat,1.0,thermal_compliance,10.259500503540039
firedrake_heat,1.0,thermal_compliance,10.259500503540039
torch_fem_thermal,1.0,thermal_compliance,10.259500503540039
jax_fem,2.0,thermal_compliance,41.038002014160156
fenics_heat,2.0,thermal_compliance,41.038002014160156
dealii_heat,2.0,thermal_compliance,41.038002014160156
firedrake_heat,2.0,thermal_compliance,41.038002014160156
torch_fem_thermal,2.0,thermal_compliance,41.038002014160156
jax_fem,4.0,thermal_compliance,164.15200805664062
fenics_heat,4.0,thermal_compliance,164.15200805664062
dealii_heat,4.0,thermal_compliance,164.15200805664062
firedrake_heat,4.0,thermal_compliance,164.15200805664062
torch_fem_thermal,4.0,thermal_compliance,164.15200805664062
