solver,amplitude,error,valid
jax_fem,0.1,0.02454996295273304,True
fenics_heat,0.1,0.0,True
dealii_heat,0.1,0.0,True
firedrake_heat,0.1,0.0,True
torch_fem_thermal,0.1,0.0,True
jax_fem,0.25,0.06026538833975792,True
fenics_heat,0.25,0.0,True
dealii_heat,0.25,0.0,True
firedrake_heat,0.25,0.0,True
torch_fem_thermal,0.25,0.0,True
jax_fem,0.5,0.11700504273176193,True
fenics_heat,0.5,0.0,True
dealii_heat,0.5,0.0,True
firedrake_heat,0.5,0.0,True
torch_fem_thermal,0.5,0.0,True
jax_fem,1.0,0.22107651829719543,True
fenics_heat,1.0,0.0,True
dealii_heat,1.0,0.0,True
firedrake_heat,1.0,0.0,True
torch_fem_thermal,1.0,0.0,True
jax_fem,2.0,0.3981429636478424,True
fenics_heat,2.0,0.0,True
dealii_heat,2.0,0.0,True
firedrake_heat,2.0,0.0,True
torch_fem_thermal,2.0,0.0,True
jax_fem,4.0,0.6640855073928833,True
fenics_heat,4.0,0.0,True
dealii_heat,4.0,0.0,True
firedrake_heat,4.0,0.0,True
torch_fem_thermal,4.0,0.0,True
